Address,Postal Code,Latitude,Longitude,City,Neighbourhood,Price(in CAD),# of Bathrooms,# of Bedrooms,Height(in stories),# of Kitchens,# of Parking Spaces,Lot-Size(in km^2), Total Lot Size(in km^2),Basement(finished or not),House HTML
"386 Yonge St, Bay Street Corridor, Toronto M5B0A5",M5B0A5,43.67058758,-79.3852625,Toronto,Bay Street Corridor,65000,0,0,,,,,,No Basement,https://toronto.listing.ca/386-yonge-st.C4498263.htm#15-2dw
"65 Hargrave Lane, Bridle Path-Sunnybrook-York Mills, Toronto M4N0A4",M4N0A4,43.662851,-79.46953,Toronto,Bridle Path-Sunnybrook-York Mills,65000,0,0,,,,,,No Basement,https://toronto.listing.ca/65-hargrave-lane.C4442134.htm#15-3z3
"274 Mcguire Beach Rd, Rural Carden, Kawartha Lakes K0M2B0",K0M2B0,44.923972,-78.757699,Kawartha-lakes,Rural Carden,70000,0,0,,,,70.00 x 218.00,15260,No Basement,https://kawartha-lakes.listing.ca/274-mcguire-beach-rd.X4523602.htm#20y-17
"295 Adelaide St Parking, Waterfront Communities C1, Toronto M5V1P7",M5V1P7,43.6477505,-79.3908405,Toronto,Waterfront Communities C1,75000,0,0,,,,,,No Basement,https://toronto.listing.ca/295-adelaide-st-parking.C4518519.htm#15-zl
"560 King St, Waterfront Communities C1, Toronto M5V1M3",M5V1M3,43.644691,-79.3988615,Toronto,Waterfront Communities C1,75000,0,0,,,,,,No Basement,https://toronto.listing.ca/560-king-st.C4498112.htm#15-2g7
"50 Charles St Parking, Church-Yonge Corridor, Toronto M4Y1T1",M4Y1T1,43.669391,-79.382599,Toronto,Church-Yonge Corridor,80000,0,0,,,,,,No Basement,https://toronto.listing.ca/50-charles-st-parking.C4521213.htm#15-sm
"68 Cedartree Lane, Bobcaygeon, Kawartha Lakes K0M1A0",K0M1A0,44.575997,-78.47334,Kawartha-lakes,Bobcaygeon,88000,0,0,,,,,,No Basement,https://kawartha-lakes.listing.ca/68-cedartree-lane.X4345315.htm#20y-9x
"44 Birch Cres, Bobcaygeon, Kawartha Lakes K0M1A0",K0M1A0,44.575997,-78.47334,Kawartha-lakes,Bobcaygeon,88000,0,0,,,,,,No Basement,https://kawartha-lakes.listing.ca/44-birch-cres.X4345307.htm#20y-9y
"56 Cedartree Lane, Bobcaygeon, Kawartha Lakes K0M1A0",K0M1A0,44.575997,-78.47334,Kawartha-lakes,Bobcaygeon,88000,0,0,,,,59.06 x 125.38,7404.9428,No Basement,https://kawartha-lakes.listing.ca/56-cedartree-lane.X4345321.htm#20y-9z
"6586 Highway 35, Coboconk, Kawartha Lakes K0M1K0",K0M1K0,44.657224,-78.743576,Kawartha-lakes,Coboconk,89900,0,0,,,,79.79 x 467.46,37298.6334,No Basement,https://kawartha-lakes.listing.ca/6586-highway-35.X4461984.htm#20y-69
"230 Lake Dalrymple Rd 9, Rural Carden, Kawartha Lakes L0K1W0",L0K1W0,44.680232,-79.17443,Kawartha-lakes,Rural Carden,99000,1,2,1,1,,,,No Basement,https://kawartha-lakes.listing.ca/230-lake-dalrymple-rd-9.X4511013.htm#20y-2s
"158 Fishog Tr, Norland, Kawartha Lakes K0M2L0",K0M2L0,44.787462,-78.737354,Kawartha-lakes,Norland,99500,0,0,,,,203.00 x 343.00,69629,No Basement,https://kawartha-lakes.listing.ca/158-fishog-tr.X4502176.htm#20y-3v
"6 Robert St, Bethany, Kawartha Lakes L0A1A0",L0A1A0,44.183594,-78.556328,Kawartha-lakes,Bethany,99900,0,0,,,,198.00 x 264.00,52272,No Basement,https://kawartha-lakes.listing.ca/6-robert-st.X4472487.htm#20y-5u
"230 Lake Dalrymple Rd 4, Rural Carden, Kawartha Lakes L0K1W0",L0K1W0,44.680232,-79.17443,Kawartha-lakes,Rural Carden,119000,1,1,1,1,,,,No Basement,https://kawartha-lakes.listing.ca/230-lake-dalrymple-rd-4.X4511034.htm#20y-2q
"9 Cherrywood Lane, Rural Innisfil, Innisfil L9S1N3",L9S1N3,44.349596,-79.561449,Innisfil,Rural Innisfil,129900,1,2,1,1,2,,,No Basement,https://innisfil.listing.ca/9-cherrywood-lane.N4415875.htm#yi-cn
"1564 Prospect Rd, Rural Eldon, Kawartha Lakes K0M2B0",K0M2B0,44.923972,-78.757699,Kawartha-lakes,Rural Eldon,129900,0,0,,,,227.36 x 218.50,49678.16,No Basement,https://kawartha-lakes.listing.ca/1564-prospect-rd.X4425172.htm#20y-8e
"30 Summit Dr, Eastmount, Hamilton L8V2R8",L8V2R8,43.24273048,-79.85170996,Hamilton,Eastmount,145000,1,1,,1,,,,No Basement,https://hamilton.listing.ca/30-summit-dr.X4525320.htm#1b-2e
"230 Lake Dalrymple Rd 10, Rural Carden, Kawartha Lakes L0K1W0",L0K1W0,44.680232,-79.17443,Kawartha-lakes,Rural Carden,149000,1,3,1,1,,,,No Basement,https://kawartha-lakes.listing.ca/230-lake-dalrymple-rd-10.X4511082.htm#20y-2n
"118 Ferndale Dr, Ardagh, Barrie L4N6Y6",L4N6Y6,44.359932,-79.715513,Barrie,Ardagh,149900,0,0,,,,59.35 x 124.06,7362.961,No Basement,https://barrie.listing.ca/118-ferndale-dr.S4508251.htm#61-6u
"2364 Taunton Rd, Rural Clarington, Clarington L0B1J0",L0B1J0,43.955839,-78.826953,Clarington,Rural Clarington,149900,0,0,,,,624.00 x 503.00,313872,No Basement,https://clarington.listing.ca/2364-taunton-rd.E4426991.htm#62-cb
"18 Mimosa Cres, Rural Innisfil, Innisfil L9S1P9",L9S1P9,44.348796,-79.552816,Innisfil,Rural Innisfil,154900,1,3,1,1,2,,,No Basement,https://innisfil.listing.ca/18-mimosa-cres.N4524919.htm#yi-1f
"230 Lake Dalrymple Rd 15, Rural Carden, Kawartha Lakes L0K1W0",L0K1W0,44.680232,-79.17443,Kawartha-lakes,Rural Carden,159000,1,3,1,1,,,,No Basement,https://kawartha-lakes.listing.ca/230-lake-dalrymple-rd-15.X4511058.htm#20y-2t
"1900 Simcoe St 419, Samac, Oshawa L1G4Y3",L1G4Y3,43.94428,-78.890812,Oshawa,Samac,160000,1,0,,1,,,,No Basement,https://oshawa.listing.ca/1900-simcoe-st-419.E4477141.htm#pp-ev
"18 Church St, Manilla, Kawartha Lakes K0M2J0",K0M2J0,44.272828,-78.991624,Kawartha-lakes,Manilla,165000,0,0,,,,165.00 x 132.00,21780,No Basement,https://kawartha-lakes.listing.ca/18-church-st.X4496311.htm#20y-4j
"50 Old Kingston Rd 1305, West Hill, Toronto M1E4Y1",M1E4Y1,43.77544505,-79.18236322,Toronto,West Hill,169000,1,2,,1,,,,No Basement,https://toronto.listing.ca/50-old-kingston-rd-1305.E4451212.htm#15-3u9
"151 Mcgill Dr, Janetville, Kawartha Lakes L0B1K0",L0B1K0,44.23348,-78.753333,Kawartha-lakes,Janetville,178000,0,0,,,,115.67 x 190.00,21977.3,No Basement,https://kawartha-lakes.listing.ca/151-mcgill-dr.X4510912.htm#20y-2p
"125 Village Green Sq, Agincourt South-Malvern West, Toronto M1S0G3",M1S0G3,43.777332,-79.402348,Toronto,Agincourt South-Malvern West,178800,0,0,,,,,,No Basement,https://toronto.listing.ca/125-village-green-sq.E4384758.htm#15-49v
"1900 Simcoe St 237, Samac, Oshawa L1G4Y3",L1G4Y3,43.94428,-78.890812,Oshawa,Samac,179000,1,0,1,1,,,,No Basement,https://oshawa.listing.ca/1900-simcoe-st-237.E4524138.htm#pp-3s
"10 Pine Hill Crt, Rural Innisfil, Innisfil L9S1R5",L9S1R5,44.350759,-79.554216,Innisfil,Rural Innisfil,179900,2,2,1,1,2,,,No Basement,https://innisfil.listing.ca/10-pine-hill-crt.N4520383.htm#yi-28
"1900 Simcoe St 736, Samac, Oshawa L1G4Y3",L1G4Y3,43.94428,-78.890812,Oshawa,Samac,182500,1,0,,1,,,,No Basement,https://oshawa.listing.ca/1900-simcoe-st-736.E4420034.htm#pp-hx
"1900 Simcoe St #815, Samac, Oshawa L1G0C1",L1G0C1,43.874044,-78.856161,Oshawa,Samac,184500,1,0,,1,,,,No Basement,https://oshawa.listing.ca/1900-simcoe-st-815.E4466560.htm#pp-fo
"1900 Simcoe St 426, Samac, Oshawa L1G4Y3",L1G4Y3,43.94428,-78.890812,Oshawa,Samac,184900,1,0,1,1,,,,No Basement,https://oshawa.listing.ca/1900-simcoe-st-426.E4445462.htm#pp-h1
"1900 Simcoe St 634, Samac, Oshawa L1G4Y3",L1G4Y3,43.94428,-78.890812,Oshawa,Samac,185000,1,0,,1,,,,No Basement,https://oshawa.listing.ca/1900-simcoe-st-634.E4468736.htm#pp-fj
"1900 Simcoe St 505, Samac, Oshawa L1G4Y3",L1G4Y3,43.94428,-78.890812,Oshawa,Samac,185000,1,0,,1,,,,No Basement,https://oshawa.listing.ca/1900-simcoe-st-505.E4454233.htm#pp-gi
"37 Wakeford Rd, Little Britain, Kawartha Lakes K0M2C0",K0M2C0,44.210886,-78.80885,Kawartha-lakes,Little Britain,188888,0,0,1,,,100.00 x 155.04,15504,No Basement,https://kawartha-lakes.listing.ca/37-wakeford-rd.X4485388.htm#20y-55
"1052 Spruce Rd, Rural Innisfil, Innisfil L0L1W0",L0L1W0,44.259986,-79.564259,Innisfil,Rural Innisfil,189000,0,0,,,,100.00 x 136.00,13600,No Basement,https://innisfil.listing.ca/1052-spruce-rd.N4389323.htm#yi-dj
"2230 14th Line, Gilford, Innisfil L0L1R0",L0L1R0,44.230369,-79.531822,Innisfil,Gilford,189900,0,0,,,,69.91 x 171.95,12021.0245,No Basement,https://innisfil.listing.ca/2230-14th-line.N4460750.htm#yi-aa
"1900 Simcoe St 729, Samac, Oshawa L1G4Y3",L1G4Y3,43.94428,-78.890812,Oshawa,Samac,189900,1,0,1,1,,,,No Basement,https://oshawa.listing.ca/1900-simcoe-st-729.E4434700.htm#pp-hj
"1900 Simcoe St 501, Samac, Oshawa L1G4Y3",L1G4Y3,43.94428,-78.890812,Oshawa,Samac,193000,1,0,1,1,,,,No Basement,https://oshawa.listing.ca/1900-simcoe-st-501.E4494344.htm#pp-ci
"5 East 36th St 3A, Raleigh, Hamilton L8V3Y6",L8V3Y6,43.237926,-79.838846,Hamilton,Raleigh,195000,1,2,,1,,,,No Basement,https://hamilton.listing.ca/5-east-36th-st-3a.X4497822.htm#1b-9r
"2 Redwood Crt, Stroud, Innisfil L9S1M4",L9S1M4,44.356582,-79.550692,Innisfil,Stroud,195000,2,2,1,1,2,,,No Basement,https://innisfil.listing.ca/2-redwood-crt.N4404794.htm#yi-d6
"230 Lake Dalrymple Rd 20, Rural Carden, Kawartha Lakes L0K1W0",L0K1W0,44.680232,-79.17443,Kawartha-lakes,Rural Carden,195000,1,3,1,1,,,,No Basement,https://kawartha-lakes.listing.ca/230-lake-dalrymple-rd-20.X4511024.htm#20y-2r
"1900 Simcoe St 738, Samac, Oshawa L1G4Y3",L1G4Y3,43.94428,-78.890812,Oshawa,Samac,195000,1,0,,1,,,,No Basement,https://oshawa.listing.ca/1900-simcoe-st-738.E4415944.htm#pp-i0
"2566 25th Side Rd, Rural Innisfil, Innisfil L9S2K1",L9S2K1,44.358821,-79.547674,Innisfil,Rural Innisfil,199000,0,0,,,,115.00 x 200.00,23000,No Basement,https://innisfil.listing.ca/2566-25th-side-rd.N4514979.htm#yi-3c
"4 Nettles Cove, Rural Innisfil, Innisfil L9S1P6",L9S1P6,44.348118,-79.551989,Innisfil,Rural Innisfil,199000,2,2,1,1,2,,,No Basement,https://innisfil.listing.ca/4-nettles-cove.N4478324.htm#yi-8o
"1900 Simcoe St 836, Samac, Oshawa L1G4Y3",L1G4Y3,43.94428,-78.890812,Oshawa,Samac,199000,1,0,,1,,,,No Basement,https://oshawa.listing.ca/1900-simcoe-st-836.E4414588.htm#pp-i2
"1326 Killarney Beach Rd, Lefroy, Innisfil L0L1W0",L0L1W0,44.259986,-79.564259,Innisfil,Lefroy,199900,0,0,,,,66.00 x 135.00,8910,No Basement,https://innisfil.listing.ca/1326-killarney-beach-rd.N4511640.htm#yi-3w
"16 Maple Leaf Terr, Cookstown, Innisfil L0L1L0",L0L1L0,44.19208,-79.622988,Innisfil,Cookstown,199900,1,2,1,1,2,,,No Basement,https://innisfil.listing.ca/16-maple-leaf-terr.N4487241.htm#yi-7s
